,content
669,　　此次研讨会汇聚了国内知名整车企业、流通企业和相关上下游企业的众多重量级嘉宾，议题重点主要聚焦于新能源汽车的销售和服务环节。来自行业内的十余位专家学者、汽车企业高管针对2017年新能源汽车市场的发展趋势、新能源汽车如何解决“三包”服务以及如何锻造新能源汽车品牌等话题进行了探讨和交流。
670,　　在会上，中国汽车流通协会会长沈进军指出，目前由于政策的滞后，我国新能源汽车在服务方面主要面临着“三包” 难的问题，而这种问题不仅损害消费者的切身利益，同时也让众多汽车厂商和流通企业十分头疼。
671,　　根据规定，传统的汽车在“三包”中仅涉及到传统燃油汽车的主要零部件发动机、变速箱等，但是这些并不属于新能源汽车零部件。而新能源汽车的核心“三电”即电池、电机和电控在传统的“三包”中又没有涉及。因此，随着新能源汽车产销量的不断增加，消费者和车企每年在这些方面都会产生大量的纠纷。
672,　　而与会的车企代表则表示，“三包”问题也是他们的心头之痛。由于各地对新能源汽车“三包”质保期的期限要远高于传统汽车的有效期，而且新能源汽车普遍行驶里程较少，一旦发生退换车时，如果按照“三包”规定的补偿费用计算，那么对企业来讲也是一笔不小的负担。为了解决一系列问题，推动新能源汽车市场快速健康发展，中国汽车技术研究中心党委书记于凯表示，近年来他们在相关院所相继成立了专门的新能源汽车政策、标准、研发、检测等业务部门，开展了一系列广泛、深入的研究工作。
673,　　近期，中国汽车流通协会也应国家质量监督检验检疫总局、国家缺陷产品管理中心要求，开展了一系列调研和论证工作，根据要求正在完善汽车“三包”中新能源汽车相关规定。由于新能源汽车在技术方面的迭代速度在加快，迭代周期在缩短，因此主管部门在制定相关政策时也要充分考虑到增加政策的弹性和可预见性。
674,　　本报讯 “最近我们法院放在淘宝司法拍卖平台上的车子，每周都能卖掉三五辆，真是蛮火的。”昨天，杭州上城法院负责网络司法拍卖的王法官告诉钱报记者，这些火爆的车子有个共同特点——带浙A牌照。
675,　　让王法官印象比较深的是一辆北京现代带浙A牌照车，估价1万元左右，经过40次出价，最终成交价达到4万元。“来拍车的很多人都是为了一块车牌。”王法官说。
676,　　据了解，网络司法拍卖平台上，杭州地区法院提交的拍卖车辆，基本都是浙A牌照。
677,　　“在杭州，取得车牌最主要的途径是摇号和竞价。网络司法拍卖提供了第三种途径。”王法官说，网络司法拍卖都是带牌销售。如果竞拍人参与网络司法拍卖，同时竞拍人符合杭州小客车指标申请资格的，竞拍成功这辆车，可以同时拥有小客车指标。“司法拍卖的浙A牌照汽车，折算下来的车牌价格会低于直接竞拍车牌的价格。”王法官说。
678,　　“要特别提醒，车辆要先通过年检后才能办理过户手续。”王法官也发现，有部分人为了车牌有些冲动，没有提前去实地看车辆状况，也没有考虑到车辆的维修、年检成本及其他遗留问题。　　 本报记者 方力 通讯员 尚法
679,"　　,中新社,上海4月21日电 (记者 闫晓虹)业内预计：2017年中国新能源汽车有望保持4%的增速，其流通模式将面临深刻变革。"
680,　　作为全球最具影响力的汽车大展之一，在此间举办的第十七届上海国际车展已成为中外车商竞相斗艳的“竞技场”。在今年参展的1400多辆新车中，新能源汽车有159辆，占比超过一成。由中国汽车流通协会和中国汽车技术研究中心主办的“2017新能源汽车销售与服务研讨会”聚焦了业内关注的目光。
681,　　中国汽车技术研究中心党委书记于凯称，近年来中国新能源汽车产业快速发展，2015年已成为全球最大市场，2016年销量超50万辆，在汽车总销量的占比达1.8%，保有量接近100万辆，处于世界领先水平。中国新能源汽车在服务、自动化方面不断提高，迄今其充电设施公共服务累积注册用户6万人，累积充电量200多万千瓦时。
682,　　据业内专家介绍，目前中国新能源汽车的销售大致有四种模式，一种是传统的4S店；另一种是超市式的，一个超市里有多品牌同时销售；第三个是直销式的，比如特斯拉；还有一种是将其功能分成两部分，分别在线上和线下执行，更超前的做法甚至将其分成4份，每项功能独立开展，有的负责售后，有的负责销售，有的负责信息化数据，还有的负责信息反馈，这种模式通常被用作大客户的整体解决方案。
683,　　中国汽车流通协会会长沈进军表示，由于新能源汽车基本不需要一些日常的维修和保养，因此未来经销商的发展模式可能会从原来的“销售—维修”向“展示—体验”转变。
684,　　与会专家认为，中国新能源汽车已在技术上颠覆了传统汽车的模式，未来还应继续深化在销售、推广及服务等方面的变革，只有在生产、流通、服务等各个环节都打破桎梏，中国新能源汽车的发展才会真正再上一个新台阶。
685,　　按照国家计划，2018年中国新能源汽车补贴将在2017年的基础上进一步下降二成，到2020年中国新能源汽车行业将有望彻底告别补贴。
686,　　中国电动汽车百人会首席专家张永伟指出，中国新能源汽车作为一个新兴业态，不但改变了汽车行业的发展模式，还带动了信息技术、物联网、能源、材料和城市基础设施建设等方面的发展。但另一方面，现在有许多新能源车企都是依靠政策补贴、行业补贴等来实现生存和盈利的，这样的发展模式容易掩盖很多问题。当中国新能源汽车进入“后补贴时代”时，大家需要比拼的就是内功。
687,　　根据“《中国制造2025》节能与新能源汽车领域发展路线”预测：2020年中国新能源汽车年销量约占汽车总销量的7%到10%，保有量超过500万辆；2025年，其销量约占汽车总销量的15%到20%，保有量超过2000万辆，市场增长空间巨大。
688,　　与会专家表示，对未来中国新能源汽车业的发展前景抱有极大信心。在政策推动和市场拉动下，随着技术快速提升、产品逐步丰富、充电基础设施不断完善，消费者对新能源汽车的接受度也逐渐提高。
689,　　同时，中国新能源车必须走出曾经的“安全区”，以更好的服务、更优秀的品牌和更强大的技术作为突破口，让舒适的用户体验和良好的口碑成为检验新能源汽车的最终标准。(完)
690,"　　,中新网,4月21日电 近日，2017年第十七届上海国际汽车工业展览会开幕。作为全球汽车产业的风向标，上海车展今年也释放出不少行业变革的信号。而各品牌厂家，也正在努力着寻找自己的方向，迎合这场变革，争夺通往未来的“入场券”。车展期间，本田技研工业株式会社执行董事兼中国本部长水野泰秀接受了媒体的采访阐述了本田未来在中国的发展计划，他表示，为了适应日益增长的中国汽车市场和不断升级的消费格局，本田在扩充产能的同时也在着力布局高端品牌讴歌在华发展战略。"
691,　　目前，中国汽车消费与日俱增，市场空间依旧很大，而且还有迅速升级的高压态势。伴随着相关汽车行业政策出台，对汽车业企业也提出了一张“考卷”。而本田汽车近来的销量增长可观，产能问题受各方关注。对此水野泰秀指出，目前东风本田有两个工厂，广汽本田有三个工厂，产能共计60万辆。当下应对产能不足要通过对员工出勤方式作一些调整，比如三班倒的形式，来实现更多的产量。而东风本田方面还没有第三工厂以外更多的计划，目前力求先把第三工厂建起来，进一步扩充基本产能。
692,　　数据显示，本田汽车在华表现属三大日系品牌成长最快的。细究原因，水野泰秀认为是导入了完整的SUV产品阵营的结果。本田有小型SUV，也有CR-V，还有大型SUV冠道、UR-V，产品阵营很完整。另外一个因素就是核心车型的回归，车型销量的恢复。第一个车型是思域投放了1.0T和1.5T混合动力车型，时尚的外观也得到了广大消费者的好评。另一个是核心车型雅阁的回归。雅阁在改版之后销量非常稳健，雅阁锐·混动月销量也达到1000台的成绩，雅阁品牌整体达到月销量15000台。
693,　　面对高端汽车市场的增长，水野泰秀认为讴歌要走的路还很长，希望讴歌品牌能够跻身豪华品牌行列，希望它成为豪华品牌当中比较特别的一个。本田希望讴歌在行驶性能(包括SUV)方面，通过搭载的先进配置，让客户感受到行驶和转向时的畅快，希望能带给客户高性能的感觉。
694,　　水野泰秀还指出，讴歌当下计划是推进和加快实现3万辆目标，首先通过进一步推进国产化、本地化生产，目前已经国产化了CDX，未来还将实现TLX和RDX的国产，因为国产化将会带来更合适的价格区间，让讴歌进入消费者更能够够得着的产品价格带。二就是完善和强化讴歌的经销商网络：到目前为止，讴歌一般是采用进口的方式进行销售，现在有五十多家经销商。接下来讴歌进一步打造健全经营的经销商网络，强化经销商的能力，把店铺规模网络扩充到九十家左右。三是讴歌将进一步发力营销，去年在NSX发布的时候，讴歌启用塞纳代言。接下来在新产品投入的时候，会有更好的广宣来提升品牌的音量。
695,　　对与当下热议的自动化和智能驾驶技术，水野泰秀也介绍了本田的自动化发展计划。他指出，未来电动化方面所涉及到的主要是电动化控制，自动驾驶方面，例如与自动驾驶相结合的地图。对此，接下来本田也需要与这些不同领域的企业进行合作。目前，本田已经在和高德地图合作。而在电动化控制方面，中国在IT和电动化控制技术方面已经是具有非常先进水平的国家，本田也将和一些具有优秀实力的企业进行沟通，就像在美国的Waymo，本田目前在中国也在寻求这样的合作伙伴。
696,"　　,中新网,4月18日电 4月17日，以“电动•未来王朝创造”为主题的比亚迪品牌盛典在上海举行，来自世界各地的超过2000名行业精英、媒体及迪粉齐聚一堂，聚全球智慧，共谱电动蓝图。比亚迪股份有限公司董事长兼总裁王传福分享“治污+治堵”解决方案，设计大师沃尔夫冈•艾格携王朝概念车首次亮相，奥斯卡影帝莱昂纳多号召“为地球降温1℃”。两款重磅新车——宋DM、宋EV300也于盛典现场正式上市，为消费者带来更多购车选择，宋也成为全球首款“全擎全动力”的车型。"
697,"　　,绿色大交通为城市“治污”、“治堵”"
698,　　比亚迪将企业发展与社会需求相结合，发挥在新能源领域的优势，为社会提供服务。在本届品牌盛典上，比亚迪针对当前城市化进程加剧而产生的空气污染、交通拥堵等问题，提出了基于“三电”(电池、电机、电控)核心科技的“治污+治堵”解决方案。一方面积极推进“城市公交电动化”解决方案和“7+4”战略，减少尾气排放，另一方面借助云轨高空疏解地面交通拥堵，用绿色大交通为城市治污、治堵。
699,"　　,聚全球智慧 铸国际品牌"
700,　　不仅在公共交通领域践行环保，在乘用车市场，比亚迪也通过聚全球智慧、铸国际品牌。目前，比亚迪正在建立国际化的工程师队伍，在汽车设计、底盘工艺等方面，已有一些世界级的团队加入。以设计为例，知名设计师沃尔夫冈•艾格携加盟比亚迪后的首款作品——王朝概念车亮相品牌盛典。“Dragon Face”前脸庄重大气，独具中国特色。整车造型突出悬浮感，车身轻盈动感，充分彰显出新能源车的速度感和力量感。整车设计融合传统与未来，其设计语言及风格也将融入到比亚迪的后续车型中。
701,　　在新能源车推广上，比亚迪也携手全球“伙伴”共同发力。在联合奥斯卡影帝、联合国气候变化“和平大使”莱昂纳多发出“为地球降温1℃”的号召的同时，比亚迪积极联合购车、用车各个环节的领军企业，打造“电动未来”生态圈，合力推动新能源车市场的发展。在品牌盛典现场，“电动未来”生态圈整合13亿度出行用电资源，与新能源车车主分享。
702,"　　,宋DM、宋EV上市打造全球首款“全擎全动力” 车型"
703,　　比亚迪宋DM、宋EV300于品牌盛典正式上市，宋DM定位于4.9秒疾速中级SUV，宋EV300定位于专业级主流纯电SUV。其中，宋DM补贴后全国统一价为17.99万元--20.99万元，宋EV300补贴后全国统一价为19.99万元--20.99万元。首批万名订车用户每人可以享受1万元电动未来生态礼包。
704,　　宋DM、宋EV300和已上市热销的宋盖世版共享成熟车型平台，使“宋”成为全球首款覆盖纯电、双模、燃油三大动力系统的“全擎全动力” 车型。成熟的“三电”核心科技，使两车拥有良好的性能：宋DM百公里加速仅4.9秒，宋EV300拥有300公里的超长纯电续驶里程。多种动力形式也为消费者提供了更多元的购车选择，在上海车展上，比亚迪还将推出一款宋七座版车型。据悉，未来比亚迪车型均有可能参照宋的模式，以平台化的方式丰富产品序列。
705,　　比亚迪致力于以技术促环保，现正逐步汇聚全球智慧，从产品设计、市场推广、品牌形象、战略布局等方面全面推进绿色梦想。通过品牌实力的不断提升，比亚迪会为消费者带来更优质的车型产品、更贴心的用车体验，为社会创造出更完善的绿色大交通整体解决方案，真正实现绿色梦想。
706,"　　,中新网,4月18日电 两年一度的上海车展即将在4月19日正式拉开帷幕，在这场汽车届的饕餮盛宴上，上汽通用五菱将展出一款全新产品，它将是五菱品牌打造的首款SUV车型，定位于7座SUV，未来将为追求性价比和实用性的消费者提供大的选择空间。"
707,　　五菱品牌首款SUV整体造型大气协调，车身精心雕琢的肌肉线条和贯穿前脸的单辐蜂巢式进气格栅，使其散发着硬朗阳刚之气，熏黑透镜大灯也让其前脸的质感有所提升，车身侧面采用了悬浮式车顶设计，与车顶行李架和16寸精车轮毂搭配起来更协调，同样符合时下年轻人的审美；车辆尾部造型依旧方正硬朗，全LED尾灯组合更是科技感十足，拥有更加出色的视觉效果。
708,　　新车长宽高分别为4655/1735/1780mm(高配车型为1790mm)，轴距长达2800mm。
709,　　在SUV持续火热的市场背景下，消费者对于“五菱牌SUV”的呼声越来越高，大家对于“五菱牌SUV期待已久”。对于上汽通用五菱而言，始终坚持着“以用户需求为核心”的造车理念，“五菱牌SUV”的诞生，不仅迎合了消费者对于7座SUV的需求，同时将助力企业进一步推进乘用化转型。
710,　　目前智能网联汽车已经实际运用在工业领域，但是距离载人汽车实现无人驾驶，尚有“最后一公里”需要打通。这已经成为世界车辆工程领域研究的热点和汽车工业增长的新动力。其技术路径是如何让车载网络成为车辆的“神经系统”，由此实现信息采集、传递、计算、反馈、控制的功能，从而为驾驶者轻松驾驶、安全驾驶、明白维修保驾护航。
711,　　近日，由车载信息服务产业应用联盟、合肥工业大学智能制造技术研究院共建的安徽省车联网技术研究中心在合肥正式成立，该中心将针对毫米波雷达、车车通讯与网络安全等智能网联汽车领域关键技术，联合有关科研院所和汽车整车、零部件生产企业开展协同创新行动。
712,"　　,毫米波雷达：“擦亮”智能汽车的眼睛"
713,　　据悉，按照我国节能与新能源汽车发展技术路线图，到2030年，市场上10%的汽车将实现完全自动驾驶。实现无人驾驶，首先要具备道路环境识别的能力。
714,　　“毫米波雷达、激光雷达和视觉传感器，可以被称之为智能网联汽车的眼睛。”合肥工业大学汽车电子与测控技术研究所所长孔慧芳教授介绍说。通过这双眼睛，车辆可以准确观测行人、障碍物或其他车辆的位置和运动方向，有效获取道路信息，从而确保车辆顺利、安全行驶。而毫米波雷达，由于其信号不易衰减，受雨雪、尘埃等环境干扰较小，成为智能汽车有形之眼的最佳选择。
715,　　目前，我国车用毫米波雷达的应用仍处于测试阶段，相关技术和产品的研发与测试需要汽车生产企业、雷达生产企业、无线电监控监测中心协同作战。
716,　　而“眼睛”采集到的道路图像信息，将通过综合图像处理、机器视觉与机器学习等先进技术进行分析，将实际道路中的环境信息检测并提取出来，实现对当前道路环境的智能识别。这些道路信息和车辆各电器间的控制信号和状态信息，又将通过总线技术在车辆内部网络上即时传递，从而实现对车辆运行的控制和车载电器的状态监控。
717,"　　,车车通讯：练就智能汽车的“千里眼”"
718,　　擦亮眼睛让车辆具备了自主观测路况的能力，但仅仅如此，还不能实现车辆的智能化。“依托无线通讯，通过车联网技术，在车辆与车辆之间、车辆与路测设施之间形成的交互网络，才能练就智能汽车的千里眼。”孔慧芳说，所谓车联网，就是车、路、人一体化网络及其应用。
719,　　目前，车联网技术在汽车上的应用已经比较普遍，很大程度上提升了人们的驾驶体验。不过，目前的车联网技术应用主要还是定位导航、娱乐资讯、车辆防盗等初级功能。
720,　　而智能汽车的千里眼，就是基于车联网技术，在车-车、车-路、车-人、车-设施等之间形成信息交互，将采集到的车辆位置、速度和路线等各类信息进行交互与共享，其构成的巨大交互网络，即使在雨、雪、雾恶劣天气下也可以帮助车辆实现行驶环境的感知，实现临时障碍预警、车间距离预警与控制等危险辨识响应。值得一提的是，由于车辆之间可以共享道路状况信息，当前车发生事故时，可以即时提示后续车辆提前做好减速准备，或避开事故路段。
721,　　同时，车车通讯还使智能交通和绿色交通成为现实。“目前已经普遍应用的智能导航可以提供路线最短或时间最短的选择，但这些选择往往不意味着能耗最低。”孔慧芳介绍说，通过连接红绿灯等道路设施，分析其他车辆和道路设施提供的数据信息，为出行车辆提供最为合理的路线和车速。
722,　　此外，驾驶人除了可以避开拥堵路段或者路况较差的路段，还可以提前知道平稳车速控制在多少就能顺利通过下一个红绿灯路口，从而避免了急起急刹等操作，在保证交通高效、安全的同时，降低油耗。
723,"　　,网络安全：为智能汽车加上 “一把安全锁”"
724,　　随着汽车和交通智能化以及智慧城市发展趋势，更多车辆信息陆续开放并通过高速总线上传到车载信息终端，使车载信息终端成为车辆的大脑，车载网络成为车辆的神经系统，由此实现信息采集、传递、计算、反馈、控制的功能。
725,　　通过车云网将信息数据上传到云端，车辆不仅能实现自动驾驶，从生产到售后其所有的数据信息可以全方位使用。“人们都知道车辆每5000公里需要保养，但5000公里只是预估值，不同的路况、不同的驾驶习惯均会造成不同的影响。”孔慧芳介绍说，智能网联汽车则可以通过采集车辆行驶过程中的各项数据，精准地判断车辆的具体车况，及时提醒车辆进行保养，从而有效保证车辆的良好状况。
726,　　同时，这一数据也可以准确反映驾驶人的驾驶习惯，如果发现其具有危险驾驶习惯，即使侥幸躲过了事故与违章，也可以通过收取高额保险等方式进行处罚。
727,　　第十七届上海国际车展将从明天起在上海国家会展中心开幕。第十七届上海车展将集中展现汽车行业最前沿技术与产品，聚焦新技术、新趋势、新产品给人类生活带来的无限可能，体现当下汽车发展电动化、智能化、网联化的新趋势。本届上海车展共1000多家国内外车企参展，展出整车1400辆。
728,"　　,113款新车全球首发"
729,　　据北京晨报记者了解，本届上海车展全球首发车将达到113辆(外国公司30辆、中国公司83辆)，新能源车159辆(国内厂商96辆、国外厂商63辆)，概念车56辆，外国公司亚洲首发车44辆。展出总面积超过36万平方米，启用国家会展中心(上海)全部13个室内展馆。
730,　　参展车企中，宝马、奔驰、大众、通用、福特等排名前十车企无一缺席。其中，宝马将带来BMW和MINI品牌旗下多款备受瞩目的创新车型，横跨多个细分市场，满足不同客户的需求。这是宝马集团在全新“第一战略”的引领下，对积极实践本土化和可持续发展的有力体现。全球首发的全新BMW 5系Li是宝马本土化生产的第三代5系长轴距，也是这个荣耀家族的第七代产品，其强大的产品力将为中国最富进取精神的社会精英带来极致体验，继续引领新时代豪华行政轿车市场。
731,　　在SUV领域，亚洲首发的BMW X2概念车将轿跑车与SUV的设计理念相结合，将驾驶乐趣和多功能性融于一身，开辟全新市场；BMW i8将“纯粹驾驶乐趣”与电动出行完美结合，新BMW i8质子磨砂黄限量版将在本届上海车展上全球首发。其独一无二的外观造型，进一步突显了BMW i8独特的未来设计感。同时，MINI全新成员——新一代MINI JOHN COOPER WORKS COUNTRYMAN，将在上海进行全球首秀。
732,　　在刚刚发布紧凑级车Aesthetics A设计理念之后，奔驰迅速将A级三厢版概念车带到上海车展，其对中国市场的重视程度可见一斑。而奥迪将展示一款代表旗下未来新能源车型的设计理念的纯电动车型——奥迪X17概念车。不断推进国产化的Jeep，将带着首款面向中国市场设计的车型，“Jeep云图”概念车全球首发亮相，表明了Jeep将继续深耕中国市场的决心。
733,　　随着近两年SUV车型的大行其道，在1400款参展车中，SUV占了相当高的比例。几乎每个汽车品牌的展位都可以看到SUV的身影，其中不乏全新车型。长安CS55、马自达CX-3、路虎揽胜星脉、广汽丰田首款小型SUV、广汽传祺GS7、东风风神AX4、上汽斯柯达柯迪亚克、上汽大通D90等。这些全新车型均有上市计划。
734,"　　,众多新品牌亮相"
735,　　本届上海车展，还将出现众多汽车新品牌的身影。吉利全新品牌LYNK&CO将首次亮相车展。这个品牌定位在沃尔沃和吉利之间，主打中高端市场，旗下车型基于CMA基础模块架构打造而来，竞争对手锁定为国内的主流合资品牌。全新CMA基础模块架构未来将诞生LYNK&CO品牌下的CX11(SUV)、CS11(三厢轿车)、CC11(跨界车)以及CH11(两厢车)等多款车型。
736,　　长城汽车全新高端品牌WEY，将携带首款产品轿跑式SUV——WEY VV7首次亮相车展。除此之外，蔚来汽车、汉腾汽车、SWM斯威汽车、云度汽车、奇点汽车等众多造车新势力将集聚上海车展，为中国汽车行业带来更多新思路。
737,"　　,新能源汽车成焦点"
738,　　本届上海车展，新能源车仍然是一大亮点。在4月19日至28日举办的上海车展上，斯柯达将通过电动概念车VISION E的首发，向观众展示品牌对未来个人出行的展望。这款充满情感设计的SUV车型在纯电动模式下可行驶500公里。斯柯达正在加紧推进车型的电动化，到2025年斯柯达将推出5款不同级别的电动汽车。
739,　　斯柯达VISION E外观抢眼，车身长4645毫米，宽1917毫米，高1550毫米。由于轴距长达2850毫米且前后悬较短，VISION E的车内空间非常宽敞——这一点是斯柯达汽车的经典特征。VISION E的设计概念实现了跨界融合：即提供SUV车型的座椅高度、宽敞且适宜比例的空间，又拥有轿跑车型的流线型动感外型。斯柯达VISION E输出功率高达225千瓦，加速迅捷而强劲，最高时速180公里/时。强劲的锂电池和极佳的能量回收性能使其纯电动续航里程达到500公里。智能管理系统可以让斯柯达VISION E的两个电机在最佳效率下同时工作，并实现四轮驱动。VISION E还会根据需要驱动前、后轮，以确保车辆始终保持最佳的稳定性、安全性以及动力性能。
740,　　上汽荣威将展示荣威“光之翼”Vision-E Concept，这是一款纯电动超级轿跑SUV，续航里程大于500km，时速0到100公里加速4秒即可完成。该车配备自主泊车，支持无线充电，还将采用AR-HUD抬头显示技术，可全方位展示行驶时的交通信息和附近路况等，豪华感、科技感、未来感十足。除此之外，北汽新能源ARCFOX-1、观致Model K-EV、 蔚来EVE、吉利 LYNK &CO CX11、传祺GE3、比亚迪 宋EV等也将纷纷亮相，让参观者大饱眼福。(北京晨报记者 孙金凤)
741,　　智能汽车不仅可以实现车辆状态的远程监测，还可以实现对车辆的远程控制，这也对车联网的安全性提出了更高的要求。“如果车辆在高速行驶中被人为远程控制，会造成极大的不安全因素。”孔慧芳说。为此，中心还将面向车联网的网络安全开展关键技术研发，为智能汽车的研发使用加上一把安全锁。
742,"　　,中新网,4月18日电  威马汽车今天在上海国家会展中心威马汽车办公楼举办“企业开放日”，其概念车“AG2020”首次亮相，同时发布了威马的首个出行服务产品——“威马充电”APP，并宣布成立“智慧出行价值链”全球产业基金。从产品、服务到资本，威马汽车多点发力，扎实推进，加速实现换道超车的目标。"
743,"　　,概念车首次亮相，量产车稳步推进"
744,　　在“企业开放日”上，威马汽车的概念车“AG2020”首次亮相。AG是avantgarde的缩写，意味着前沿、先锋；2020意味着2020年，代表了威马汽车2020年的愿景和努力的方向：全方位的用户出行关怀和周到的智能服务。与此同时，威马汽车的量产车项目也在稳步推进中。威马汽车首个平台首款量产车全球累积测试里程已超过100万公里，内外饰设计已经冻结，另外，凭借威马团队在汽车研发和设计领域的丰富经验，威马首款产品在风阻系数上将有重大突破。威马汽车的首台量产产品将于2018年下线，旨在打造真正意义的人工智能主流车型。
745,　　为了打造“世界冠军”级品质的智能电动汽车，恪守产品质量关，威马汽车坚持自建工厂。2016年11月23日，威马新能源汽车智能产业园于温州市瓯江口奠基。瓯江口产业园将打造一座全新的数字化工厂，该工厂数字化投入达行业平均水平3倍以上。未来威马汽车的产品将根据用户需求，预留出大量定制化选装配置空间。目前产业园一期工程进展顺利，今年5月起第一台设备将进厂安装，2018年年初，首批主流量产车型将在装配线上小规模下线。
746,"　　,首个出行服务产品上线，成立百亿规模产业基金"
747,　　4月18日，威马汽车的首个出行服务产品——“威马充电”服务正式上线公开测试。该款产品是打通了“查、导、充、付”四项核心功能的充电APP产品。首批开通上海地区，将接入星星充电、EVPOWER两家运营商共5000余个充电桩。公开测试期，充电桩状态刷新频率精确到120秒，准确率达到90%以上。目前，该款APP正在接受手机用户的反馈，并不断进行体验优化。
748,　　在“企业开放日”上，威马汽车创始人、董事长兼CEO沈晖宣布正在成立一支120亿规模的全球产业基金，用于扶持威马企业价值链上下游的伙伴。沈晖透露，该产业基金的投资管理岗位已全部到岗，目前已投资了一家用车服务型团队。
749,　　“互联网重构实体经济的时代，给了新兴创业公司重构商业模式，以更智能的产品、更开放的生态和更灵活的资金，挑战传统主机厂的机会。威马汽车顺应产业趋势，实打实不走捷径，不做一家弯道超车的企业，而是要整合全球资源，积蓄力量，瞅准方向和时机，围绕一款‘世界冠军’级品质的智能汽车产品，构筑全新出行生态，在一条全新的道路上，实现换道超车。”沈晖说道。
750,　　据悉，威马汽车是国内新兴的新能源汽车产品及出行方案提供商，基于全球人才、科技、研发、制造及产业链资源，致力于为消费者提供完善、便捷、舒适的出行体验。WM是德文Weltmeister世界冠军单词的缩写，意为威马要制造“世界冠军”级的智能汽车产品。
751,"　　,中新网,4月18日电 一汽丰田全新卡罗拉18日开启全互联网体验式营销。全新卡罗拉上市发布结合网络游戏的新尝试，让无数用户在游戏的沉浸式体验中，享受全新卡罗拉带来的惊喜。伴随网络暴走新热词 “没有什么是一个微笑解决不了的”和朋友圈“微笑姿势”迅速霸屏。"
752,　　此次，全新卡罗拉共推出12款车型，售价10.78万元起。其中：卡罗拉1.6L共2款车型，售价分别为10.78万元、11.78万元，全新卡罗拉涡轮增压共4款车型，售价区间10.98-14.38万元；全新卡罗拉1.8L共2款车型，售价分别为15.38万元、16.38万元；卡罗拉双擎共5款车型，售价区间13.98-17.58万元。
753,　　至此卡罗拉家族产品阵营愈发强大，产品售价无缝覆盖10.78-17.58万元区间，未来将形成以卡罗拉双擎、全新卡罗拉1.8L、全新卡罗拉涡轮增压、卡罗拉1.6L车型为梯队的家族队伍，在为用户带来更丰富优质的车型选择的同时，通过更为精细的车型定位，抢占SML-H车型各个细分市场。
754,　　品牌底蕴深厚的卡罗拉创造了一个又一个传奇，不断突破常规，成为业界风向标。这一次，全新卡罗拉“微笑遇见 让幸福盛放”网络发布会，更可谓看点十足。
755,"　　,全民互动 幸福盛放"
756,　　全新卡罗拉的上市，不仅仅是面向媒体的发布会，更是在“互联网＋”思维模式下，诱发全民参与互动的创新营销模式。无论是和美图秀秀联袂上演的“微笑趴 GO”，还是与百度外卖的食(美食)色(车身颜色)兼融，跨界媒体48小时多角度话题放送，在全新卡罗拉上市前，“SMILE COROLLA”已经掀起舆论风暴。
757,　　在网络门户、网络红人同步直播中，全新卡罗拉以前所未有的游戏模式启动上市发布会，各个环节的巧妙植入，让用户一边玩一边感受全新卡罗拉的魅力。一汽丰田CEO，行业主编时尚海报出镜助力，同样为此次别具一格的上市发布会锦上添花。
758,　　除此之外，“SMILE COROLLA让幸福盛放”主题活动同步开启：特色试驾、城市巡展、自驾旅行等丰富的线下活动，更是将卡罗拉“为世界上每一个人带来幸福与快乐”的理念传递千家万户。
759,"　　,多重驱动 任君选择"
760,　　此次上市的全新卡罗拉以家族方式集体上市，其中既有定位于“高一级别”的卡罗拉双擎；有外观和内饰焕然一新的全新卡罗拉涡轮增压与全新卡罗拉1.8L车型；也有延续经典的卡罗拉1.6L车型。
761,　　卡罗拉双擎，精炼内功创造更高级产品品质。卡罗拉双擎在内部设计上大有精进，改款后的发动机也进行了升级，通过加装烃(HC)过滤器，进一步减少废气排放，并符合京VI排放标准。
762,　　空调功能改成了更高级的按键式，同时全系车型增加了PM2.5加速清洁按键，驾乘者能够根据车内空气质量情况，主动判别是否开启PM2.5加速清洁功能。最高配的导航、次高配的多媒体显示系统都进行了升级，屏幕显示尺寸扩大到了8英寸，从而让信息的读取和操作更加便利。
763,　　对于整体驾驶氛围的提升，卡罗拉双擎中控面板采用更高级别车型经常的钢琴黑材质，两款低配车型均增加了驾驶室LED氛围灯，使得整个内饰的豪华感得以提升。两款低配车型内部最明显的变化是增加了驾驶席座椅的高度调节功能，确保每位用户都能找到合适的驾驶位置。这些新增的功能，提升了用户在驾乘时的使用感受，也进一步提升了产品力。
764,　　在车身颜色上，卡罗拉双擎增加了浅黄云母金属色和深棕云母金属色两种颜色；内饰的象牙色也调整为亚麻色，与之相配的像车门下方、手套箱和地板的颜色都调整为黑色。
765,　　全新卡罗拉涡轮增压、全新卡罗拉1.8L，外观内饰焕然一新。此次全新卡罗拉涡轮增压与全新卡罗拉1.8L车型将以全新的外观内饰、高效动力组合，带来幸福升级的感受。全新卡罗拉涡轮增压与全新卡罗拉1.8L车型采用新式Keen Look家族式前脸，延续了丰田品牌特有的设计内涵。低重心设计的前脸、流畅的车身线条、动感立体的车尾，打造出优雅稳重的车身轮廓。全新卡罗拉1.8L车型更是配备了LED投射式前照灯与LED日间行车灯。在车身颜色上，同样新增了浅黄云母金属色、深棕云母金属色。
